更新日期,#genre#
,
2025-02-05,
📺央视频道,#genre#
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb03]/ott.mobaibox.com/PLTV/4/224/3221227896/index.m3u8$LR•IPV6『线路1』
CCTV-1,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8$LR•IPV6『线路2』
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb09]:80/ott.mobaibox.com/PLTV/4/224/3221227467/index.m3u8$LR•IPV6『线路3』
CCTV-1,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$LR•IPV4『线路4』
CCTV-1,rtp://239.3.1.129:8008$LR•IPV4『线路5』
CCTV-1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33$LR•IPV4『线路6』
CCTV-1,http://goo.bkpcp.top/mg/cctv1$LR•IPV4『线路7』
CCTV-1,http://z.b.bkpcp.top/m.php?id=cctv1$LR•IPV4『线路8』
CCTV-1,http://112.46.85.60:8009/hls/501/index.m3u8$LR•IPV4『线路9』
CCTV-1,http://183.94.1.118:8801/tsfile/live/0001_1.m3u8$LR•IPV4『线路10』
CCTV-1,http://123.182.60.29:9002/hls/1/index.m3u8$LR•IPV4『线路11』
CCTV-1,http://3501776.xyz:35455/gaoma/cctv1.m3u8$LR•IPV4『线路12』
CCTV-1,http://dsm.huarunguoji.top:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$LR•IPV4『线路13』
CCTV-1,http://www.terrykang.xyz:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$LR•IPV4『线路14』
CCTV-1,http://ct.370829.xyz:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$LR•IPV4『线路15』
CCTV-1,http://fm1077.serv00.net/Smart.php?id=cctv1$LR•IPV4『线路16』
CCTV-2,http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw3589111099_-1793408755/ott.mobaibox.com/PLTV/3/224/3221227543/index.m3u8?icpid=3&RTS=1668594088&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3$LR•IPV6『线路1』
CCTV-2,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001220/index.m3u8$LR•IPV6『线路2』
CCTV-2,http://[2409:8087:2001:20:2800:0:df6e:eb16]:80/ott.mobaibox.com/PLTV/4/224/3221228094/index.m3u8$LR•IPV6『线路3』
CCTV-2,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EcnoJZd_sZxCC6bZYZh4R6g%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$LR•IPV4『线路4』
CCTV-2,rtp://239.3.1.60:8084$LR•IPV4『线路5』
CCTV-2,http://goo.bkpcp.top/mg/cctv2$LR•IPV4『线路6』
CCTV-2,http://z.b.bkpcp.top/m.php?id=cctv2$LR•IPV4『线路7』
CCTV-2,http://112.46.85.60:8009/hls/502/index.m3u8$LR•IPV4『线路8』
CCTV-2,http://183.94.1.118:8801/tsfile/live/0002_1.m3u8$LR•IPV4『线路9』
CCTV-2,http://123.182.60.29:9002/hls/2/index.m3u8$LR•IPV4『线路10』
CCTV-2,http://3501776.xyz:35455/gaoma/cctv2.m3u8$LR•IPV4『线路11』
CCTV-2,http://dsm.huarunguoji.top:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$LR•IPV4『线路12』
CCTV-2,http://www.terrykang.xyz:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$LR•IPV4『线路13』
CCTV-2,http://ct.370829.xyz:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$LR•IPV4『线路14』
